ref,wd-6-7,wd-7-9,wd-9-16,wd-16-18,wd-18-19,wd-19-20,wd-20-21,sa-6-7,sa-7-9,sa-9-16,sa-16-18,sa-18-19,sa-19-20,sa-20-21,su-6-7,su-7-9,su-9-16,su-16-18,su-18-19,su-19-20,su-20-21
6,5,6,5,4,3,4,1,5,6,5,4,3,4,1,5,6,5,4,3,4,1
101,6,5,5,6,6,3,4,6,5,5,6,6,3,4,6,5,5,6,6,3,4
102,5,8,7,7,10,7,2,6,7,7,7,7,6,1,3,6,6,6,6,5,0
103,3,5,4,4,4,4,2,1,5,5,5,4,4,3,1,5,5,5,4,4,3
104,4,8,7,7,10,2,2,5,8,8,8,8,3,0,5,8,6,6,6,1,0
105,5,6,5,5,7,5,3,5,4,4,4,4,3,0,3,3,5,5,3,3,0
106,6,7,6,7,5,5,2,3,6,4,4,3,2,0,3,3,3,3,3,3,0
107,7,8,8,7,11,9,5,7,8,8,7,11,9,5,7,8,8,7,11,9,5
108,3,4,4,5,2,1,0,3,4,4,5,2,1,0,3,3,3,3,4,0,0
109,3,4,4,5,2,1,0,3,4,4,5,2,1,0,4,3,3,3,4,0,0
110,11,10,10,9,12,15,9,10,12,10,7,9,10,9,5,6,6,7,7,7,7
111,7,7,6,7,8,7,3,7,7,6,7,8,7,3,1,7,7,7,7,7,2
112,7,11,10,11,8,6,4,7,11,10,11,8,6,2,7,11,10,11,8,6,2
113,10,10,10,10,7,0,0,10,10,10,10,5,0,0,10,10,10,10,5,0,0
114,10,11,10,11,11,7,3,6,11,10,9,9,7,4,5,7,7,9,9,7,2
115,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,1,0
116,6,7,6,6,5,4,0,6,6,6,6,4,3,0,6,6,6,6,4,2,0
117,6,5,5,6,6,4,2,6,6,5,6,4,4,3,3,5,5,4,5,3,0
118,5,5,5,5,5,3,0,5,5,5,5,5,3,0,5,5,5,5,5,3,0
119,5,7,7,8,6,7,6,6,6,5,6,5,5,2,2,5,5,5,4,4,2
120,9,13,10,11,13,9,6,7,9,7,7,7,6,6,4,6,7,7,7,6,6
123,6,6,5,4,6,4,1,5,5,4,4,5,4,1,5,5,4,4,5,4,1
125,4,4,4,4,3,0,0,4,4,4,4,3,0,0,4,4,4,4,3,0,0
125CS,4,4,4,4,4,4,0,4,4,4,4,4,2,0,4,4,4,4,4,2,0
133,4,4,4,4,4,2,0,4,4,4,4,4,2,0,4,4,4,4,4,2,0
154,2,5,4,4,5,1,0,2,5,4,4,5,1,0,2,5,4,4,5,1,0
158,6,7,6,7,6,2,0,3,7,6,7,6,1,0,3,7,6,7,6,1,0
159,7,8,7,8,6,0,0,7,7,8,7,3,0,0,6,6,6,4,0,0,0
163,3,4,6,5,3,3,0,3,4,6,5,3,3,0,3,4,6,5,3,0,0
164,8,8,9,8,7,6,1,5,6,6,8,7,6,1,5,6,7,8,5,4,0
165,5,6,5,5,3,3,0,6,5,5,7,3,3,0,6,5,5,4,1,0,0
167,3,5,4,4,4,4,2,3,5,4,4,4,2,0,3,5,4,4,4,2,0
168,6,9,7,7,7,5,4,6,7,6,6,4,5,2,4,5,5,6,4,5,2
169,5,6,6,5,6,1,0,5,6,6,5,5,0,0,5,6,6,5,6,1,0
170,10,11,10,12,4,1,0,10,11,10,12,4,0,0,10,11,10,12,4,0,0
172,6,8,7,8,2,0,0,6,8,7,8,2,0,0,6,8,7,8,2,0,0
175,3,5,3,4,3,1,1,3,5,3,4,3,1,1,3,5,3,4,3,1,1
195,6,6,6,5,6,3,0,4,5,4,5,5,2,0,4,4,4,3,4,3,3
210,10,11,6,10,12,7,4,10,9,6,5,5,3,1,5,5,5,5,5,3,1
MR4,0,2,3,5,4,1,0,5,5,4,3,4,1,0,2,3,3,2,1,0,0
262,4,4,4,4,3,0,0,4,4,4,4,1,0,0,4,4,4,2,1,0,0
266,12,14,12,17,9,6,1,12,14,12,17,9,3,0,12,14,12,17,9,6,1
ESQ,4,5,3,2,0,0,0,4,5,3,2,0,0,0,4,5,3,2,0,0,0
SIS,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0
VAN,2,2,2,2,2,0,0,2,2,2,2,2,0,0,2,2,2,2,2,0,0
